CODIGO_PAIS,Nº_MIGRANTES,CONTINENTE,COMUNA
2,90,África,Santiago
2,4,África,Cerrillos
2,13,África,Cerro Navia
2,5,África,Conchalí
2,4,África,El Bosque
2,22,África,Estación Central
2,1,África,Huechuraba
2,31,África,Independencia
2,8,África,La Cisterna
2,24,África,La Florida
2,5,África,La Granja
2,5,África,La Pintana
2,7,África,La Reina
2,87,África,Las Condes
2,31,África,Lo Barnechea
2,1,África,Lo Espejo
2,5,África,Lo Prado
2,19,África,Macul
2,18,África,Maipú
2,54,África,Ñuñoa
2,2,África,Pedro Aguirre Cerda
2,9,África,Peñalolén
2,33,África,Providencia
2,15,África,Pudahuel
2,10,África,Quilicura
2,5,África,Quinta Normal
2,18,África,Recoleta
2,15,África,Renca
2,6,África,San Joaquín
2,11,África,San Miguel
2,2,África,San Ramón
2,19,África,Vitacura
2,24,África,Puente Alto
2,2,África,Pirque
2,2,África,San José de Maipo
2,30,África,Colina
2,2,África,Lampa
2,1,África,Tiltil
2,22,África,San Bernardo
2,5,África,Buin
2,2,África,Calera de Tango
2,7,África,Paine
2,5,África,Melipilla
2,3,África,Curacaví
2,2,África,María Pinto
2,4,África,Talagante
2,2,África,El Monte
2,5,África,Isla de Maipo
2,6,África,Padre Hurtado
2,1,África,Peñaflor
5,5888,Otros países de América del Sur,Santiago
5,487,Otros países de América del Sur,Cerrillos
5,580,Otros países de América del Sur,Cerro Navia
5,672,Otros países de América del Sur,Conchalí
5,451,Otros países de América del Sur,El Bosque
5,2259,Otros países de América del Sur,Estación Central
5,547,Otros países de América del Sur,Huechuraba
5,1892,Otros países de América del Sur,Independencia
5,587,Otros países de América del Sur,La Cisterna
5,1617,Otros países de América del Sur,La Florida
5,340,Otros países de América del Sur,La Granja
5,453,Otros países de América del Sur,La Pintana
5,357,Otros países de América del Sur,La Reina
5,2468,Otros países de América del Sur,Las Condes
5,752,Otros países de América del Sur,Lo Barnechea
5,243,Otros países de América del Sur,Lo Espejo
5,529,Otros países de América del Sur,Lo Prado
5,580,Otros países de América del Sur,Macul
5,2079,Otros países de América del Sur,Maipú
5,1448,Otros países de América del Sur,Ñuñoa
5,280,Otros países de América del Sur,Pedro Aguirre Cerda
5,1014,Otros países de América del Sur,Peñalolén
5,1107,Otros países de América del Sur,Providencia
5,1066,Otros países de América del Sur,Pudahuel
5,809,Otros países de América del Sur,Quilicura
5,1399,Otros países de América del Sur,Quinta Normal
5,1550,Otros países de América del Sur,Recoleta
5,505,Otros países de América del Sur,Renca
5,611,Otros países de América del Sur,San Joaquín
5,919,Otros países de América del Sur,San Miguel
5,216,Otros países de América del Sur,San Ramón
5,680,Otros países de América del Sur,Vitacura
5,1831,Otros países de América del Sur,Puente Alto
5,40,Otros países de América del Sur,Pirque
5,44,Otros países de América del Sur,San José de Maipo
5,1489,Otros países de América del Sur,Colina
5,840,Otros países de América del Sur,Lampa
5,117,Otros países de América del Sur,Tiltil
5,1107,Otros países de América del Sur,San Bernardo
5,472,Otros países de América del Sur,Buin
5,50,Otros países de América del Sur,Calera de Tango
5,308,Otros países de América del Sur,Paine
5,279,Otros países de América del Sur,Melipilla
5,52,Otros países de América del Sur,Alhué
5,82,Otros países de América del Sur,Curacaví
5,20,Otros países de América del Sur,María Pinto
5,34,Otros países de América del Sur,San Pedro
5,309,Otros países de América del Sur,Talagante
5,81,Otros países de América del Sur,El Monte
5,59,Otros países de América del Sur,Isla de Maipo
5,310,Otros países de América del Sur,Padre Hurtado
5,298,Otros países de América del Sur,Peñaflor
9,17,Oceanía,Santiago
9,1,Oceanía,Cerrillos
9,1,Oceanía,Cerro Navia
9,3,Oceanía,El Bosque
9,7,Oceanía,Estación Central
9,4,Oceanía,Huechuraba
9,2,Oceanía,Independencia
9,6,Oceanía,La Florida
9,1,Oceanía,La Granja
9,22,Oceanía,La Reina
9,91,Oceanía,Las Condes
9,45,Oceanía,Lo Barnechea
9,6,Oceanía,Macul
9,2,Oceanía,Maipú
9,24,Oceanía,Ñuñoa
9,7,Oceanía,Peñalolén
9,34,Oceanía,Providencia
9,1,Oceanía,Quilicura
9,4,Oceanía,Quinta Normal
9,3,Oceanía,Recoleta
9,1,Oceanía,Renca
9,1,Oceanía,San Joaquín
9,1,Oceanía,San Miguel
9,44,Oceanía,Vitacura
9,2,Oceanía,Puente Alto
9,2,Oceanía,Pirque
9,16,Oceanía,Colina
9,2,Oceanía,Lampa
9,3,Oceanía,San Bernardo
9,3,Oceanía,Calera de Tango
9,3,Oceanía,Paine
9,5,Oceanía,Melipilla
9,5,Oceanía,Curacaví
9,4,Oceanía,Talagante
9,2,Oceanía,Peñaflor
13,3972,Otros países de América Central y El Caribe,Santiago
13,267,Otros países de América Central y El Caribe,Cerrillos
13,396,Otros países de América Central y El Caribe,Cerro Navia
13,670,Otros países de América Central y El Caribe,Conchalí
13,184,Otros países de América Central y El Caribe,El Bosque
13,1294,Otros países de América Central y El Caribe,Estación Central
13,282,Otros países de América Central y El Caribe,Huechuraba
13,1621,Otros países de América Central y El Caribe,Independencia
13,227,Otros países de América Central y El Caribe,La Cisterna
13,765,Otros países de América Central y El Caribe,La Florida
13,210,Otros países de América Central y El Caribe,La Granja
13,157,Otros países de América Central y El Caribe,La Pintana
13,199,Otros países de América Central y El Caribe,La Reina
13,1116,Otros países de América Central y El Caribe,Las Condes
13,441,Otros países de América Central y El Caribe,Lo Barnechea
13,109,Otros países de América Central y El Caribe,Lo Espejo
13,272,Otros países de América Central y El Caribe,Lo Prado
13,372,Otros países de América Central y El Caribe,Macul
13,560,Otros países de América Central y El Caribe,Maipú
13,998,Otros países de América Central y El Caribe,Ñuñoa
13,167,Otros países de América Central y El Caribe,Pedro Aguirre Cerda
13,470,Otros países de América Central y El Caribe,Peñalolén
13,681,Otros países de América Central y El Caribe,Providencia
13,346,Otros países de América Central y El Caribe,Pudahuel
13,428,Otros países de América Central y El Caribe,Quilicura
13,601,Otros países de América Central y El Caribe,Quinta Normal
13,1042,Otros países de América Central y El Caribe,Recoleta
13,491,Otros países de América Central y El Caribe,Renca
13,263,Otros países de América Central y El Caribe,San Joaquín
13,480,Otros países de América Central y El Caribe,San Miguel
13,118,Otros países de América Central y El Caribe,San Ramón
13,237,Otros países de América Central y El Caribe,Vitacura
13,647,Otros países de América Central y El Caribe,Puente Alto
13,17,Otros países de América Central y El Caribe,Pirque
13,5,Otros países de América Central y El Caribe,San José de Maipo
13,1193,Otros países de América Central y El Caribe,Colina
13,290,Otros países de América Central y El Caribe,Lampa
13,23,Otros países de América Central y El Caribe,Tiltil
13,325,Otros países de América Central y El Caribe,San Bernardo
13,106,Otros países de América Central y El Caribe,Buin
13,26,Otros países de América Central y El Caribe,Calera de Tango
13,46,Otros países de América Central y El Caribe,Paine
13,177,Otros países de América Central y El Caribe,Melipilla
13,3,Otros países de América Central y El Caribe,Alhué
13,62,Otros países de América Central y El Caribe,Curacaví
13,5,Otros países de América Central y El Caribe,María Pinto
13,142,Otros países de América Central y El Caribe,Talagante
13,28,Otros países de América Central y El Caribe,El Monte
13,20,Otros países de América Central y El Caribe,Isla de Maipo
13,94,Otros países de América Central y El Caribe,Padre Hurtado
13,138,Otros países de América Central y El Caribe,Peñaflor
21,171,América del Norte,Santiago
21,14,América del Norte,Cerrillos
21,2,América del Norte,Cerro Navia
21,11,América del Norte,Conchalí
21,8,América del Norte,El Bosque
21,31,América del Norte,Estación Central
21,28,América del Norte,Huechuraba
21,14,América del Norte,Independencia
21,14,América del Norte,La Cisterna
21,75,América del Norte,La Florida
21,11,América del Norte,La Granja
21,7,América del Norte,La Pintana
21,99,América del Norte,La Reina
21,528,América del Norte,Las Condes
