NOM_COMUNA,Pct_Kast,Pct_Jara,Ganador
ALHUÉ,62.3,37.7,Kast
BUIN,58.4,41.6,Kast
CALERA DE TANGO,59.1,40.9,Kast
CERRILLOS,52.8,47.2,Kast
CERRO NAVIA,42.3,57.7,Jara
COLINA,57.6,42.4,Kast
CONCHALÍ,47.4,52.6,Jara
CURACAVÍ,61.5,38.5,Kast
EL BOSQUE,51.9,48.1,Kast
EL MONTE,56.2,43.8,Kast
ESTACIÓN CENTRAL,52.4,47.6,Kast
HUECHURABA,51.8,48.2,Kast
INDEPENDENCIA,52.1,47.9,Kast
ISLA DE MAIPO,58.7,41.3,Kast
LA CISTERNA,53.6,46.4,Kast
LA FLORIDA,49.1,50.9,Jara
LA GRANJA,46.5,53.5,Jara
LA PINTANA,47.9,52.1,Jara
LA REINA,60.2,39.8,Kast
LAMPA,56.8,43.2,Kast
LAS CONDES,72.4,27.6,Kast
LO BARNECHEA,71.8,28.2,Kast
LO ESPEJO,43.8,56.2,Jara
LO PRADO,47.1,52.9,Jara
MACUL,48.8,51.2,Jara
MAIPÚ,47.6,52.4,Jara
MARÍA PINTO,63.1,36.9,Kast
MELIPILLA,59.8,40.2,Kast
ÑUÑOA,48.9,51.1,Jara
PADRE HURTADO,55.4,44.6,Kast
PAINE,58.9,41.1,Kast
PEDRO AGUIRRE CERDA,41.3,58.7,Jara
PEÑAFLOR,54.7,45.3,Kast
PEÑALOLÉN,49.4,50.6,Jara
PIRQUE,60.5,39.5,Kast
PROVIDENCIA,64.8,35.2,Kast
PUDAHUEL,48.6,51.4,Jara
PUENTE ALTO,46.3,53.7,Jara
QUILICURA,47.7,52.3,Jara
QUINTA NORMAL,49.5,50.5,Jara
RECOLETA,48.8,51.2,Jara
RENCA,47.0,53.0,Jara
SAN BERNARDO,54.3,45.7,Kast
SAN JOAQUÍN,44.4,55.6,Jara
SAN JOSÉ DE MAIPO,48.4,51.6,Jara
SAN MIGUEL,53.9,46.1,Kast
SAN PEDRO,61.7,38.3,Kast
SAN RAMÓN,47.7,52.3,Jara
SANTIAGO,54.2,45.8,Kast
TALAGANTE,55.9,44.1,Kast
TILTIL,57.3,42.7,Kast
VITACURA,74.6,25.4,Kast
