NOM_COMUNA,Pct_Kast,Pct_Jara,Ganador
ALGARROBO,45.6,54.4,Jara
CABILDO,51.9,48.1,Kast
CALERA,59.5,40.5,Kast
CALLE LARGA,50.2,49.8,Kast
CARTAGENA,46.4,53.6,Jara
CASABLANCA,53.1,46.9,Kast
CATEMU,43.1,56.9,Jara
CONCÓN,48.3,51.7,Jara
EL QUISCO,48.5,51.5,Jara
EL TABO,50.4,49.6,Kast
HIJUELAS,58.7,41.3,Kast
ISLA DE PASCUA,47.7,52.3,Jara
JUAN FERNÁNDEZ,48.3,51.7,Jara
LA CRUZ,56.7,43.3,Kast
LA LIGUA,55.0,45.0,Kast
LIMACHE,52.8,47.2,Kast
LLAILLAY,45.7,54.3,Jara
LOS ANDES,60.1,39.9,Kast
NOGALES,52.8,47.2,Kast
OLMUÉ,57.3,42.7,Kast
PANQUEHUE,46.5,53.5,Jara
PAPUDO,53.7,46.3,Kast
PETORCA,50.4,49.6,Kast
PUCHUNCAVÍ,54.2,45.8,Kast
PUTAENDO,44.5,55.5,Jara
QUILLOTA,52.4,47.6,Kast
QUILPUÉ,56.2,43.8,Kast
QUINTERO,49.2,50.8,Jara
RINCONADA,60.3,39.7,Kast
SAN ANTONIO,61.7,38.3,Kast
SAN ESTEBAN,59.6,40.4,Kast
SAN FELIPE,44.5,55.5,Jara
SANTA MARÍA,45.7,54.3,Jara
SANTO DOMINGO,53.3,46.7,Kast
VALPARAÍSO,54.3,45.7,Kast
VILLA ALEMANA,55.5,44.5,Kast
VIÑA DEL MAR,55.6,44.4,Kast
ZAPALLAR,58.6,41.4,Kast
