Indice_Comuna,NOM_COMUNA
0,PAINE
1,BUIN
2,PUDAHUEL
3,CERRO NAVIA
4,COLINA
5,TILTIL
6,LAMPA
7,HUECHURABA
8,CONCHALÍ
9,MARÍA PINTO
10,CURACAVÍ
11,LA PINTANA
12,EL BOSQUE
13,ESTACIÓN CENTRAL
14,PEDRO AGUIRRE CERDA
15,RECOLETA
16,INDEPENDENCIA
17,ISLA DE MAIPO
18,LO ESPEJO
19,LA CISTERNA
20,LA FLORIDA
21,PEÑALOLÉN
22,LAS CONDES
23,LA REINA
24,LO BARNECHEA
25,VITACURA
26,QUINTA NORMAL
27,LO PRADO
28,CERRILLOS
29,MAIPÚ
30,MELIPILLA
31,MACUL
32,ÑUÑOA
33,PEÑAFLOR
34,PADRE HURTADO
35,PUENTE ALTO
36,QUILICURA
37,RENCA
38,CALERA DE TANGO
39,SAN BERNARDO
40,SAN JOSÉ DE MAIPO
41,PIRQUE
42,SAN JOAQUÍN
43,SAN MIGUEL
44,SAN RAMÓN
45,LA GRANJA
46,PROVIDENCIA
47,SANTIAGO
48,EL MONTE
49,TALAGANTE
50,SAN PEDRO
51,ALHUÉ
